Category,Item_Code,Price,Quantity,Source,Price_with_30_percent_markup
16,wa,0.942,15,V2,1.2246
16,wa,0.952,139,V2,1.2376
16,wa,1.194,3302,V2,1.5522
16,wa,1.25,3,V2,1.625
16,wa,1.446,1752,V2,1.8798
16,wa,1.507,6914,V2,1.9590999999999998
16,wa,1.639,200,V2,2.1307
16,wa,1.808,11548,V2,2.3504
16,wa,1.916,489,V2,2.4908
16,sn,0.006,661,V2,0.0078000000000000005
16,sn,0.054,40,V2,0.0702
16,sn,0.089,5216,V2,0.1157
16,sn,0.098,1,V2,0.1274
16,sn,0.117,1,V2,0.1521
16,sn,0.126,363,V2,0.1638
16,sn,0.139,11164,V2,0.18070000000000003
16,sn,0.151,15910,V2,0.1963
16,sn,0.2,21703,V2,0.26
16,sn,0.207,80,V2,0.2691
16,sn,0.215,200,V2,0.2795
16,sn,0.287,97448,V2,0.3731
16,li,0.006,360,V2,0.0078000000000000005
16,li,0.008,4290,V2,0.010400000000000001
16,li,0.01,63,V2,0.013000000000000001
16,li,0.011,80,V2,0.0143
16,li,0.032,5216,V2,0.041600000000000005
16,li,0.036,857,V2,0.0468
16,li,0.038,21699,V2,0.0494
16,li,0.051,11328,V2,0.0663
16,li,0.054,20,V2,0.0702
16,li,0.067,22235,V2,0.08710000000000001
56,fb,0.067,2651,V2,0.08710000000000001
56,fb,0.087,1,V2,0.11309999999999999
56,fb,0.128,754,V2,0.16640000000000002
56,fb,0.177,264,V2,0.2301
56,fb,0.258,384,V2,0.33540000000000003
56,fb,0.264,304,V2,0.3432
56,fb,0.291,695,V2,0.37829999999999997
56,fb,0.314,144,V2,0.4082
56,vi,0.01,741,V2,0.013000000000000001
56,vi,0.116,150,V2,0.15080000000000002
56,vi,0.123,679,V2,0.15990000000000001
56,vi,0.126,162,V2,0.1638
56,vi,0.158,798,V2,0.2054
56,vi,0.181,76,V2,0.2353
56,vi,0.188,214,V2,0.2444
56,vi,0.235,1154,V2,0.3055
56,vi,0.294,797,V2,0.3822
56,ig,0.054,1,V2,0.0702
56,ig,0.067,1331,V2,0.08710000000000001
56,ig,0.098,1,V2,0.1274
56,ig,0.123,85,V2,0.15990000000000001
56,ig,0.134,5004,V2,0.17420000000000002
56,ig,0.135,8960,V2,0.17550000000000002
56,ig,0.154,19,V2,0.20020000000000002
56,ig,0.175,257,V2,0.22749999999999998
56,ig,0.199,683,V2,0.25870000000000004
56,ig,0.206,9236,V2,0.2678
56,ig,0.251,123,V2,0.32630000000000003
56,tg,0.4,516,V2,0.52
56,tg,1.209,1000,V2,1.5717
56,tg,1.247,74,V2,1.6211000000000002
56,tg,1.511,240,V2,1.9643
56,tg,3.419,5196,V2,4.4447
56,tg,3.752,10652,V2,4.8776
56,tg,5.386,12,V2,7.0018
56,tg,5.526,5,V2,7.1838
56,tg,7.184,10946,V2,9.3392
56,tg,7.412,104,V2,9.6356
56,tw,0.052,4626,V2,0.0676
56,tw,0.098,1,V2,0.1274
56,tw,0.111,680,V2,0.1443
56,tw,0.127,10178,V2,0.1651
56,tw,0.14,10472,V2,0.18200000000000002
56,tw,0.166,1166,V2,0.21580000000000002
56,wa,1.503,1,V2,1.9539
56,wa,1.714,398,V2,2.2282
56,wa,1.738,17,V2,2.2594
56,wa,3.482,1764,V2,4.5266
56,wa,4.263,7028,V2,5.5419
56,wa,6.392,7322,V2,8.309600000000001
56,wa,7.317,12,V2,9.5121
56,wa,7.369,132,V2,9.5797
56,sn,0.006,698,V2,0.0078000000000000005
56,sn,0.098,1,V2,0.1274
56,sn,0.102,5616,V2,0.1326
56,sn,0.117,1,V2,0.1521
56,sn,0.194,99,V2,0.25220000000000004
56,sn,0.195,146,V2,0.2535
56,sn,0.219,10982,V2,0.2847
56,sn,0.304,11276,V2,0.3952
56,sn,0.361,587,V2,0.4693
56,li,0.006,634,V2,0.0078000000000000005
56,li,0.035,5610,V2,0.045500000000000006
56,li,0.05,11174,V2,0.065
56,li,0.066,1569,V2,0.0858
56,li,0.068,11468,V2,0.0884
56,li,0.071,99,V2,0.0923
56,li,0.079,982,V2,0.1027
50,fb,0.054,2,V2,0.0702
50,fb,0.067,397,V2,0.08710000000000001
50,fb,0.087,1,V2,0.11309999999999999
50,fb,0.118,2629,V2,0.1534
50,fb,0.268,15435,V2,0.34840000000000004
50,fb,0.296,320,V2,0.3848
50,fb,0.531,320,V2,0.6903
50,fb,0.584,154,V2,0.7592
50,tg,1.628,3860,V2,2.1164
50,tg,1.688,40209,V2,2.1944
50,tg,1.828,500,V2,2.3764000000000003
50,tg,3.536,312,V2,4.5968
50,tg,4.006,312,V2,5.207800000000001
50,tg,4.052,124,V2,5.2676
50,ig,0.054,2,V2,0.0702
50,ig,0.067,475,V2,0.08710000000000001
50,ig,0.098,1,V2,0.1274
50,ig,0.138,20276,V2,0.17940000000000003
50,ig,0.225,500,V2,0.29250000000000004
50,ig,0.242,328,V2,0.3146
50,ig,0.323,328,V2,0.41990000000000005
50,ig,0.451,136,V2,0.5863
50,wa,3.403,1,V2,4.423900000000001
50,wa,5.216,507,V2,6.7808
50,wa,7.158,332,V2,9.3054
50,wa,7.69,332,V2,9.997000000000002
50,wa,12.157,146,V2,15.8041
50,tw,0.054,1,V2,0.0702
50,tw,0.098,1,V2,0.1274
50,tw,0.131,4670,V2,0.1703
50,tw,0.291,248,V2,0.37829999999999997
50,tw,0.426,248,V2,0.5538
50,tw,0.451,26692,V2,0.5863
50,vi,0.004,418,V2,0.005200000000000001
50,vi,0.116,1,V2,0.15080000000000002
50,vi,0.502,26000,V2,0.6526000000000001
50,vi,0.986,332,V2,1.2818
50,vi,1.223,4761,V2,1.5899
50,vi,1.338,332,V2,1.7394
50,vi,1.415,855,V2,1.8395000000000001
50,sn,0.006,820,V2,0.0078000000000000005
50,sn,0.098,1,V2,0.1274
50,sn,0.117,1,V2,0.1521
50,sn,0.49,332,V2,0.637
50,sn,0.652,4761,V2,0.8476
50,sn,0.731,332,V2,0.9503
